,name,nationality,team,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,position,age,born
475,Yorbe Vertessen,be BEL,Union Berlin,6.6,98,138,71.0,1119,351,68,88,77.3,19,26,73.1,1,2,50.0,2,1.3,0.7,+0.7,7,9,5,0,13,"FW,MF",22,2001
476,Oscar Vilhelmsson,se SWE,Darmstadt 98,15.3,123,212,58.0,1513,234,78,115,67.8,32,54,59.3,3,11,27.3,1,0.7,0.6,+0.3,11,5,2,0,7,"FW,MF",19,2003
477,Kevin Vogt,de GER,Hoffenheim,14.7,813,939,86.6,17137,7528,237,252,94.0,413,460,89.8,146,201,72.6,0,0.1,0.4,-0.1,2,79,11,0,84,DF,31,1991
478,Kevin Vogt,de GER,Union Berlin,14.7,652,735,88.7,15023,5955,123,129,95.3,392,415,94.5,131,180,72.8,0,0.0,0.2,0.0,1,31,2,0,41,DF,31,1991
479,Kevin Volland,de GER,Union Berlin,14.9,258,420,61.4,4382,1570,135,184,73.4,80,124,64.5,31,67,46.3,4,2.6,2.3,+1.4,20,30,18,5,48,"FW,MF",31,1992
480,Aster Vranckx,be BEL,Wolfsburg,12.8,499,585,85.3,8276,1835,244,269,90.7,190,212,89.6,47,74,63.5,0,0.3,0.3,-0.3,5,37,4,2,48,MF,20,2002
481,Luca Waldschmidt,de GER,Köln,12.7,320,448,71.4,5187,1308,150,180,83.3,125,163,76.7,31,60,51.7,0,1.2,1.8,-1.2,16,23,10,4,46,"MF,FW",27,1996
482,Kjell-Arik Wätjen,de GER,Dortmund,1.2,46,53,86.8,771,285,23,25,92.0,19,23,82.6,4,4,100.0,1,1.2,0.2,-0.2,3,3,1,0,8,"MF,FW",17,2006
483,Wout Weghorst,nl NED,Hoffenheim,22.0,414,571,72.5,5269,1114,262,339,77.3,102,138,73.9,17,23,73.9,3,3.5,2.8,-0.5,34,27,20,0,57,FW,30,1992
484,Julian Weigl,de GER,Gladbach,30.7,1311,1473,89.0,23744,6245,522,568,91.9,629,673,93.5,130,169,76.9,3,2.1,1.4,+0.9,24,105,10,1,105,MF,27,1995
485,Nelson Weiper,de GER,Mainz 05,1.4,24,40,60.0,301,40,13,17,76.5,7,12,58.3,0,0,,0,0.2,0.1,-0.2,2,2,1,0,2,"FW,MF",18,2005
486,Mitchell Weiser,de GER,Werder Bremen,29.3,1074,1443,74.4,17176,7158,585,682,85.8,398,506,78.7,71,149,47.7,7,4.2,5.8,+2.8,37,78,42,23,111,"DF,MF",29,1994
487,Noah Weißhaupt,de GER,Freiburg,8.4,284,392,72.4,4698,1210,141,157,89.8,109,149,73.2,26,58,44.8,2,1.3,1.8,+0.7,16,16,16,11,26,"DF,FW",21,2001
488,Timo Werner,de GER,RB Leipzig,2.3,61,88,69.3,983,129,34,43,79.1,23,30,76.7,4,7,57.1,0,0.0,0.1,0.0,2,1,0,0,6,"FW,MF",27,1996
489,Silvan Widmer,ch SUI,Mainz 05,13.8,490,677,72.4,8090,3637,249,296,84.1,185,261,70.9,44,82,53.7,3,3.5,2.5,-0.5,16,57,10,5,54,DF,30,1993
490,Patrick Wimmer,at AUT,Wolfsburg,6.5,128,200,64.0,1822,525,78,101,77.2,35,57,61.4,5,15,33.3,0,0.1,0.3,-0.1,4,11,3,0,15,"FW,MF",22,2001
491,Jonas Wind,dk DEN,Wolfsburg,29.5,473,673,70.3,6971,1949,274,356,77.0,151,204,74.0,27,40,67.5,7,5.1,3.9,+1.9,38,42,27,0,88,FW,24,1999
492,Florian Wirtz,de GER,Leverkusen,26.4,1540,1855,83.0,20304,5621,1003,1124,89.2,395,462,85.5,62,98,63.3,11,7.5,9.7,+3.5,73,95,82,7,224,MF,20,2003
493,Maximilian Wittek,de GER,Bochum,11.9,312,499,62.5,5570,2500,131,178,73.6,137,205,66.8,33,80,41.3,1,1.4,2.7,-0.4,24,35,19,7,49,"DF,FW",27,1995
494,Maximilian Wöber,at AUT,Gladbach,23.0,1224,1485,82.4,22076,8449,500,548,91.2,606,696,87.1,107,196,54.6,3,1.6,1.1,+1.4,12,101,12,7,128,DF,25,1998
