,name,nationality,team,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,position,age,born
351,James Milner,eng ENG,Brighton,8.6,492,585,84.1,7622,2496,269,297,90.6,181,210,86.2,27,46,58.7,2,1.8,1.7,+0.2,16,46,17,6,69,"DF,MF",37,1986
352,Tyrone Mings,eng ENG,Aston Villa,0.3,5,5,100.0,119,86,0,0,,2,2,100.0,2,2,100.0,0,0.0,0.2,0.0,1,1,0,0,0,DF,30,1993
353,Tyrick Mitchell,eng ENG,Crystal Palace,35.6,1177,1627,72.3,18588,7927,605,718,84.3,486,654,74.3,63,142,44.4,3,2.8,2.4,+0.2,24,74,29,12,94,"DF,MF",23,1999
354,Kaoru Mitoma,jp JPN,Brighton,16.5,509,650,78.3,6210,1486,357,413,86.4,110,153,71.9,9,24,37.5,4,2.7,3.6,+1.3,25,23,34,5,64,FW,26,1997
355,Aleksandar Mitrović,rs SRB,Fulham,0.4,4,8,50.0,78,24,1,3,33.3,2,4,50.0,1,1,100.0,0,0.0,0.0,0.0,0,1,1,0,1,FW,28,1994
356,Jakub Moder,pl POL,Brighton,6.9,243,304,79.9,3263,908,150,165,90.9,75,94,79.8,5,14,35.7,0,0.8,0.8,-0.8,4,15,3,0,23,"MF,DF",24,1999
357,Gonzalo Montiel,ar ARG,Nott'ham Forest,8.9,292,386,75.6,4600,1986,155,172,90.1,112,154,72.7,16,38,42.1,2,1.4,0.9,+0.6,9,22,9,1,28,DF,26,1997
358,Kieffer Moore,wls WAL,Bournemouth,1.2,28,42,66.7,272,91,22,29,75.9,4,8,50.0,0,0,,0,0.2,0.3,-0.2,2,2,2,0,4,"FW,MF",30,1992
359,Mikey Moore,eng ENG,Tottenham,0.0,4,5,80.0,51,11,3,4,75.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,MF,15,2007
360,Álex Moreno,es ESP,Aston Villa,11.5,428,542,79.0,6466,1602,235,264,89.0,171,210,81.4,17,30,56.7,0,1.1,1.0,-1.1,11,10,13,2,24,DF,30,1993
361,Carlton Morris,eng ENG,Luton Town,31.8,484,751,64.4,6404,1199,310,415,74.7,132,209,63.2,18,34,52.9,4,2.8,1.6,+1.2,22,27,11,0,56,"FW,MF",27,1995
362,Mason Mount,eng ENG,Manchester Utd,5.7,179,219,81.7,2414,735,111,125,88.8,42,53,79.2,10,17,58.8,0,0.3,0.4,-0.3,6,17,6,2,21,"MF,FW",24,1999
363,Divin Mubama,eng ENG,West Ham,0.9,16,22,72.7,200,15,12,16,75.0,2,3,66.7,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,FW,18,2004
364,Mykhailo Mudryk,ua UKR,Chelsea,17.5,385,566,68.0,5618,1853,237,300,79.0,96,148,64.9,30,66,45.5,2,4.1,3.2,-2.1,32,24,22,4,45,FW,22,2001
365,Rodrigo Muniz,br BRA,Fulham,17.7,136,222,61.3,2018,532,74,113,65.5,39,64,60.9,12,16,75.0,1,2.0,0.9,-1.0,18,14,7,0,19,FW,22,2001
366,Daniel Muñoz,co COL,Crystal Palace,16.0,561,720,77.9,7556,2865,365,417,87.5,164,228,71.9,14,35,40.0,4,2.4,1.3,+1.6,21,25,4,0,38,"DF,MF",27,1996
367,Finley Munroe,eng ENG,Aston Villa,0.0,1,1,100.0,16,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,MF,18,2005
368,Arijanet Muric,xk KVX,Burnley,10.0,404,585,69.1,11273,8376,67,68,98.5,196,207,94.7,140,302,46.4,0,0.2,0.1,-0.2,4,16,1,0,1,GK,24,1998
369,Murillo,br BRA,Nott'ham Forest,31.0,1123,1460,76.9,22984,10571,387,440,88.0,572,657,87.1,154,326,47.2,2,1.2,0.6,+0.8,7,101,11,0,89,DF,21,2002
370,Alex Murphy,ie IRL,Newcastle Utd,0.1,17,17,100.0,275,81,10,10,100.0,5,5,100.0,2,2,100.0,0,0.0,0.0,0.0,0,2,0,0,1,"DF,FW",19,2004
371,Jacob Murphy,eng ENG,Newcastle Utd,13.2,343,519,66.1,5229,2012,200,244,82.0,117,175,66.9,19,61,31.1,7,5.0,3.4,+2.0,31,32,30,8,52,"FW,DF",28,1995
372,Vitaliy Mykolenko,ua UKR,Everton,27.4,869,1166,74.5,13579,5739,488,549,88.9,275,368,74.7,81,169,47.9,0,0.9,1.1,-0.9,13,46,17,10,55,DF,24,1999
373,Marvelous Nakamba,zw ZIM,Luton Town,12.6,356,423,84.2,5622,1605,184,203,90.6,126,143,88.1,27,42,64.3,0,0.4,0.5,-0.4,7,27,2,1,36,MF,29,1994
374,Michael Ndiweni,eng ENG,Newcastle Utd,0.0,1,2,50.0,16,15,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,FW,19,2003
375,Reiss Nelson,eng ENG,Arsenal,3.0,127,144,88.2,1674,298,80,83,96.4,31,36,86.1,6,12,50.0,0,0.6,0.4,-0.6,5,1,6,2,5,FW,23,1999
376,Zack Nelson,eng ENG,Luton Town,0.1,4,4,100.0,41,0,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,"MF,DF",18,2004
377,Neto,br BRA,Bournemouth,32.0,692,1060,65.3,20318,15023,95,97,97.9,360,371,97.0,236,585,40.3,0,0.0,0.0,0.0,0,23,0,0,0,GK,34,1989
378,Pedro Neto,pt POR,Wolves,16.8,538,722,74.5,8269,1984,308,354,87.0,154,210,73.3,49,98,50.0,9,4.4,3.7,+4.6,38,23,29,12,54,"FW,MF",23,2000
379,Moussa Niakhate,sn SEN,Nott'ham Forest,16.2,617,774,79.7,11418,4223,237,252,94.0,309,380,81.3,66,123,53.7,0,0.1,0.3,-0.1,3,30,5,1,39,DF,27,1996
380,Eddie Nketiah,eng ENG,Arsenal,12.0,168,215,78.1,2332,267,98,118,83.1,60,72,83.3,3,4,75.0,2,0.8,0.7,+1.2,9,7,5,0,20,FW,24,1999
381,Christopher Nkunku,fr FRA,Chelsea,4.9,159,183,86.9,2048,567,101,109,92.7,39,43,90.7,4,10,40.0,0,0.2,0.5,-0.2,3,14,7,0,19,"FW,MF",25,1997
382,Rhys Norrington-Davies,wls WAL,Sheffield Utd,1.2,48,67,71.6,811,222,23,25,92.0,23,31,74.2,2,7,28.6,0,0.0,0.0,0.0,1,1,0,0,2,DF,24,1999
383,Oliver Norwood,nir NIR,Sheffield Utd,16.0,634,911,69.6,12291,4646,246,296,83.1,262,321,81.6,105,253,41.5,0,0.6,1.2,-0.6,17,67,11,2,73,MF,32,1991
384,Matheus Nunes,pt POR,Wolves,2.0,87,106,82.1,1077,279,59,68,86.8,23,26,88.5,2,6,33.3,0,0.1,0.2,-0.1,3,6,1,0,8,MF,24,1998
385,Matheus Nunes,pt POR,Manchester City,7.3,373,443,84.2,5054,783,233,255,91.4,115,133,86.5,11,23,47.8,2,1.1,1.5,+0.9,9,23,16,2,34,MF,24,1998
386,Darwin Núñez,uy URU,Liverpool,22.7,341,493,69.2,4780,1020,196,251,78.1,101,147,68.7,22,37,59.5,8,6.0,4.5,+2.0,33,23,26,0,54,FW,24,1999
387,Ethan Nwaneri,eng ENG,Arsenal,0.2,15,18,83.3,209,56,10,13,76.9,5,5,100.0,0,0,,0,0.0,0.0,0.0,1,1,2,0,2,FW,16,2007
388,Christian Nørgaard,dk DEN,Brentford,27.8,1199,1501,79.9,19114,6144,639,725,88.1,458,559,81.9,78,146,53.4,1,1.9,2.4,-0.9,24,113,26,4,161,MF,29,1994
389,Mark O'Mahony,ie IRL,Brighton,0.7,13,16,81.3,162,2,7,8,87.5,5,6,83.3,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,FW,18,2005
390,Dara O'Shea,ie IRL,Burnley,32.1,1393,1759,79.2,27584,10235,459,551,83.3,752,854,88.1,168,304,55.3,4,2.0,1.0,+2.0,13,139,6,3,122,DF,24,1999
391,Michael Obafemi,ie IRL,Burnley,0.2,4,5,80.0,55,2,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,"FW,MF",23,2000
392,Wilson Odobert,fr FRA,Burnley,23.3,446,584,76.4,6236,1559,285,330,86.4,134,173,77.5,16,31,51.6,2,3.3,3.6,-1.3,31,34,19,5,58,"MF,FW",18,2004
393,Odeluga Offiah,eng ENG,Brighton,1.4,63,80,78.8,851,196,39,41,95.1,21,24,87.5,2,7,28.6,0,0.0,0.0,0.0,0,1,1,0,4,DF,20,2002
394,Chiedozie Ogbene,ie IRL,Luton Town,22.2,589,790,74.6,8171,2314,365,409,89.2,175,234,74.8,22,57,38.6,1,3.1,3.5,-2.1,25,24,18,5,53,"MF,DF",26,1997
395,Angelo Ogbonna,it ITA,West Ham,7.1,171,214,79.9,3291,1109,60,67,89.6,94,104,90.4,14,38,36.8,0,0.0,0.1,0.0,0,6,0,0,4,DF,35,1988
396,Michael Olakigbe,eng ENG,Brentford,0.7,27,40,67.5,347,74,17,20,85.0,7,10,70.0,1,5,20.0,0,0.0,0.0,0.0,0,2,1,0,4,"DF,FW",19,2004
