,name,nationality,team,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,position,age,born
459,Aihen Muñoz,es ESP,es Real Sociedad,5.3,266,334,79.6,4334,1733,115,127,90.6,127,152,83.6,15,34,44.1,1,0.8,0.1,+0.2,1,34,0,0,40,DF,25,1997
460,Jacob Murphy,eng ENG,eng Newcastle Utd,1.0,18,24,75.0,214,41,16,16,100.0,2,6,33.3,0,0,,1,0.0,0.0,+1.0,1,3,0,0,3,FW,28,1995
461,Petar Musa,hr CRO,pt Benfica,2.6,41,60,68.3,430,168,27,36,75.0,9,14,64.3,0,1,0.0,0,0.2,0.3,-0.2,4,2,0,0,2,"FW,MF",25,1998
462,Yunus Musah,us USA,it Milan,3.9,89,111,80.2,1403,352,43,48,89.6,38,44,86.4,3,6,50.0,0,0.2,0.1,-0.2,2,6,3,1,12,MF,20,2002
463,Jamal Musiala,de GER,de Bayern Munich,9.7,313,358,87.4,4526,1052,184,199,92.5,108,121,89.3,10,15,66.7,1,1.8,2.1,-0.8,18,27,13,0,49,"MF,FW",20,2003
464,Fernando Muslera,uy URU,tr Galatasaray,6.0,196,242,81.0,5104,3469,30,31,96.8,108,111,97.3,57,98,58.2,0,0.0,0.0,0.0,0,3,0,0,0,GK,37,1986
465,Almoatasem Al Musrati,ly LBY,pt Braga,3.4,260,294,88.4,5413,1420,83,93,89.2,129,137,94.2,43,54,79.6,0,0.1,0.3,-0.1,2,32,1,0,32,MF,27,1996
466,Nacho,es ESP,es Real Madrid,10.9,624,660,94.5,10227,3715,296,302,98.0,296,307,96.4,25,38,65.8,0,0.1,0.1,-0.1,2,19,1,0,20,DF,33,1990
467,Natan,br BRA,it Napoli,5.0,295,346,85.3,5484,1928,107,116,92.2,157,181,86.7,28,40,70.0,1,0.7,0.6,+0.3,3,19,2,0,21,DF,22,2001
468,Fran Navarro,es ESP,pt Porto,0.1,1,1,100.0,9,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,FW,25,1998
469,Jesús Navas,es ESP,es Sevilla,2.4,83,126,65.9,1628,586,33,40,82.5,38,55,69.1,11,23,47.8,0,0.2,0.3,-0.2,2,5,5,5,9,DF,37,1985
470,Yehor Nazaryna,ua UKR,ua Shakhtar,2.3,89,103,86.4,1424,300,46,49,93.9,38,45,84.4,5,7,71.4,1,1.2,0.6,-0.2,3,7,2,0,7,MF,26,1997
471,Cherif Ndiaye,sn SEN,rs Red Star,4.0,59,78,75.6,816,161,34,41,82.9,19,24,79.2,2,3,66.7,0,0.4,0.2,-0.4,6,4,1,0,11,FW,27,1996
472,Tanguy Ndombele,fr FRA,tr Galatasaray,1.0,38,41,92.7,588,145,19,21,90.5,17,17,100.0,1,1,100.0,0,0.0,0.0,0.0,0,3,0,0,4,MF,26,1996
473,Kosta Nedeljković,rs SRB,rs Red Star,2.6,86,114,75.4,1367,373,49,54,90.7,30,45,66.7,6,12,50.0,0,0.1,0.3,-0.1,3,7,4,2,13,DF,17,2005
474,Reiss Nelson,eng ENG,eng Arsenal,2.0,87,91,95.6,1295,317,54,54,100.0,24,24,100.0,7,8,87.5,2,0.4,0.5,+1.6,6,4,6,1,10,FW,23,1999
475,Victor Nelsson,dk DEN,tr Galatasaray,1.1,80,92,87.0,1564,422,24,31,77.4,53,56,94.6,2,3,66.7,0,0.0,0.0,0.0,0,4,0,0,8,DF,24,1998
476,David Neres,br BRA,pt Benfica,2.0,50,64,78.1,666,146,34,36,94.4,11,14,78.6,3,7,42.9,0,0.0,0.1,0.0,1,3,2,0,6,FW,26,1997
477,Manuel Neuer,de GER,de Bayern Munich,9.0,297,346,85.8,7646,4568,35,36,97.2,176,177,99.4,86,133,64.7,0,0.0,0.0,0.0,0,4,0,0,3,GK,37,1986
478,João Neves,pt POR,pt Benfica,6.0,289,360,80.3,4570,1418,165,184,89.7,88,115,76.5,24,39,61.5,0,0.2,0.4,-0.2,3,39,3,0,28,MF,18,2004
479,Newerton,br BRA,ua Shakhtar,2.4,35,48,72.9,481,99,23,28,82.1,6,8,75.0,3,5,60.0,0,0.1,0.1,-0.1,2,0,1,0,3,"MF,FW",18,2005
480,Cyril Ngonge,be BEL,it Napoli,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,FW,23,2000
481,Sikou Niakaté,ml MLI,pt Braga,4.3,214,244,87.7,4042,1824,79,82,96.3,115,120,95.8,19,37,51.4,0,0.0,0.0,0.0,0,20,0,0,17,DF,24,1999
482,Tanguy Nianzou,fr FRA,es Sevilla,0.4,8,10,80.0,129,118,4,4,100.0,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,DF,21,2002
483,Cheikh Niasse,sn SEN,ch Young Boys,5.9,192,235,81.7,2986,612,100,120,83.3,69,75,92.0,15,21,71.4,1,0.3,0.4,+0.7,5,19,1,0,16,MF,23,2000
484,Bart Nieuwkoop,nl NED,nl Feyenoord,0.9,38,45,84.4,598,217,16,17,94.1,20,25,80.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,5,DF,27,1996
