,name,nationality,team,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,position,age,born
343,Youssef Maleh,ma MAR,Empoli,28.9,790,1028,76.8,12512,4095,418,470,88.9,273,332,82.2,62,145,42.8,1,2.4,2.0,-1.4,34,77,30,9,117,MF,25-285,1998
344,Ruslan Malinovskyi,ua UKR,Genoa,17.2,573,719,79.7,10195,3368,247,283,87.3,245,273,89.7,61,113,54.0,1,0.6,0.7,+0.4,11,67,11,1,83,MF,31-029,1993
345,Gianluca Mancini,it ITA,Roma,31.9,1744,2011,86.7,31178,10905,723,759,95.3,872,961,90.7,135,261,51.7,1,1.1,1.1,-0.1,10,141,19,4,139,DF,28-046,1996
346,Marco Mancosu,it ITA,Cagliari,1.7,39,62,62.9,615,177,21,25,84.0,11,20,55.0,5,12,41.7,0,0.2,0.4,-0.2,2,4,4,1,8,"MF,FW",35-285,1988
347,Christos Mandas,gr GRE,Lazio,8.0,181,269,67.3,5187,3842,33,33,100.0,82,85,96.5,66,151,43.7,0,0.0,0.0,0.0,0,3,0,0,0,GK,22-259,2001
348,Rolando Mandragora,it ITA,Fiorentina,17.6,606,761,79.6,10908,3071,265,306,86.6,256,292,87.7,69,115,60.0,3,1.6,1.7,+1.4,13,83,20,3,93,MF,26-339,1997
349,Kostas Manolas,gr GRE,Salernitana,5.4,276,303,91.1,5479,1918,73,78,93.6,176,182,96.7,22,35,62.9,0,0.1,0.0,-0.1,1,7,3,1,10,DF,32-354,1991
350,Riccardo Marchizza,it ITA,Frosinone,12.8,423,558,75.8,7144,3382,187,216,86.6,197,238,82.8,31,72,43.1,4,0.8,0.8,+3.2,11,28,7,5,36,DF,26-068,1998
351,Gian Marco Ferrari,it ITA,Sassuolo,25.2,1073,1300,82.5,22039,9027,300,334,89.8,610,683,89.3,143,249,57.4,0,0.3,0.7,-0.3,9,131,13,3,148,DF,32-108,1992
352,Pablo Marí,es ESP,Monza,29.1,1581,1737,91.0,33221,11252,421,451,93.3,919,957,96.0,231,310,74.5,0,0.3,0.6,-0.3,4,92,3,1,62,DF,30-276,1993
353,Mirko Marić,hr CRO,Monza,3.2,66,91,72.5,793,84,45,53,84.9,15,21,71.4,1,2,50.0,0,0.5,0.2,-0.5,5,0,1,0,4,FW,29-017,1995
