,name,nationality,team,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,position,age,born
268,Therence Koudou,fr FRA,Reims,3.5,142,173,82.1,2412,704,62,69,89.9,66,73,90.4,10,21,47.6,0,0.3,0.3,-0.3,5,8,3,2,14,DF,19-172,2004
269,Boubakar Kouyaté,ml MLI,Montpellier,21.4,719,873,82.4,14305,5064,217,251,86.5,387,436,88.8,99,155,63.9,2,1.3,0.4,+0.7,5,49,1,0,58,DF,27-048,1997
270,Sael Kumbedi,fr FRA,Lyon,10.3,470,592,79.4,7036,1816,266,306,86.9,180,224,80.4,14,40,35.0,1,0.7,0.6,+0.3,5,30,11,4,42,DF,19-068,2005
271,Layvin Kurzawa,fr FRA,Paris S-G,0.1,13,13,100.0,206,38,7,7,100.0,4,4,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,DF,31-272,1992
272,Daler Kuzyaev,ru RUS,Le Havre,23.2,824,1050,78.5,12347,3407,422,511,82.6,305,360,84.7,42,77,54.5,2,1.3,1.3,+0.7,29,87,21,1,119,MF,31-139,1993
273,Grejohn Kyei,fr FRA,Clermont Foot,11.4,198,265,74.7,2891,584,98,122,80.3,47,65,72.3,22,27,81.5,1,1.2,1.1,-0.2,12,19,12,1,30,FW,28-295,1995
274,Gaëtan Laborde,fr FRA,Nice,21.2,366,558,65.6,5696,1386,188,253,74.3,132,194,68.0,24,66,36.4,2,1.8,2.2,+0.2,27,25,26,12,46,"FW,MF",30-030,1994
275,Alexandre Lacazette,fr FRA,Lyon,25.5,397,561,70.8,5653,1574,211,283,74.6,113,156,72.4,29,46,63.0,2,1.9,2.1,+0.1,21,38,17,2,61,FW,33-005,1991
276,Alban Lafont,fr FRA,Nantes,27.7,720,1006,71.6,19485,13677,143,144,99.3,359,364,98.6,214,493,43.4,0,0.0,0.0,0.0,0,14,0,0,3,GK,25-131,1999
277,Kenny Lala,mg MAD,Brest,33.0,1713,2195,78.0,35548,12428,600,693,86.6,773,938,82.4,321,488,65.8,3,3.3,4.3,-0.3,35,164,45,19,200,DF,32-243,1991
278,Mathis Lambourde,fr FRA,Rennes,0.1,4,5,80.0,45,13,3,4,75.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,FW,18-145,2006
279,Mohamed Lamine Bayo,gn GUI,Le Havre,15.4,201,310,64.8,2723,559,115,163,70.6,62,94,66.0,6,13,46.2,1,0.6,0.6,+0.4,13,17,11,1,20,FW,25-364,1998
280,Didier Lamkel Zé,cm CMR,Metz,6.1,137,190,72.1,2652,608,54,67,80.6,61,81,75.3,17,28,60.7,0,0.9,0.2,-0.9,6,14,3,0,19,"FW,MF",27-259,1996
281,Julien Laporte,fr FRA,Lorient,20.2,883,1023,86.3,18688,7085,251,271,92.6,482,515,93.6,140,219,63.9,0,0.0,0.3,0.0,1,66,7,1,56,DF,30-211,1993
282,Théo Le Bris,fr FRA,Lorient,16.8,531,680,78.1,7815,2186,305,360,84.7,195,243,80.2,16,34,47.1,2,1.6,1.1,+0.4,13,21,18,2,58,"DF,MF",21-245,2002
283,Julien Le Cardinal,fr FRA,Brest,5.3,212,258,82.2,4339,1880,68,80,85.0,92,107,86.0,44,58,75.9,0,0.1,0.1,-0.1,2,18,0,0,24,DF,26-304,1997
284,Julien Le Cardinal,fr FRA,Lens,0.6,23,32,71.9,435,201,6,8,75.0,12,15,80.0,4,7,57.1,0,0.0,0.0,0.0,0,2,0,0,4,DF,26-304,1997
285,Jérémy Le Douaron,fr FRA,Brest,18.0,252,387,65.1,3702,739,145,196,74.0,73,105,69.5,18,37,48.6,0,1.0,1.5,-1.0,10,11,8,5,21,FW,26-042,1998
286,Enzo Le Fée,fr FRA,Rennes,17.0,897,1043,86.0,14631,4647,440,494,89.1,344,389,88.4,72,101,71.3,1,1.8,2.5,-0.8,28,112,26,2,124,MF,24-120,2000
287,Vincent Le Goff,fr FRA,Lorient,6.0,252,322,78.3,3932,1509,135,152,88.8,92,118,78.0,18,37,48.6,1,0.9,0.9,+0.1,9,17,4,0,22,"DF,MF",34-231,1989
288,Adrien Lebeau,fr FRA,Brest,0.6,19,29,65.5,284,93,10,13,76.9,7,8,87.5,1,4,25.0,1,0.5,0.3,+0.5,4,2,0,0,0,"MF,FW",24-330,1999
289,Jean-Louis Leca,fr FRA,Lens,1.0,16,26,61.5,315,199,4,5,80.0,10,10,100.0,2,11,18.2,0,0.0,0.0,0.0,0,0,0,0,0,GK,38-255,1985
290,Benjamin Lecomte,fr FRA,Montpellier,30.0,670,1006,66.6,19197,14917,102,104,98.1,303,312,97.1,260,580,44.8,1,0.5,0.1,+0.5,2,10,0,0,0,GK,33-037,1991
291,Pierre Lees-Melou,fr FRA,Brest,28.0,1425,1673,85.2,28610,9103,519,584,88.9,619,692,89.5,246,327,75.2,0,2.4,3.0,-2.4,27,152,22,3,193,MF,31-008,1993
292,Johann Lepenant,fr FRA,Lyon,2.8,165,186,88.7,2972,734,69,75,92.0,75,84,89.3,15,18,83.3,0,0.1,0.1,-0.1,3,22,0,0,24,MF,21-224,2002
293,Léo Leroy,fr FRA,Montpellier,5.5,132,184,71.7,2315,933,60,79,75.9,52,66,78.8,16,25,64.0,1,0.7,0.1,+0.3,4,12,2,0,21,MF,24-109,2000
294,Gautier Lloris,fr FRA,Le Havre,30.9,1194,1398,85.4,21169,7934,461,517,89.2,623,676,92.2,80,161,49.7,0,0.2,0.4,-0.2,3,80,3,0,105,DF,28-320,1995
295,Abou Lô,sn SEN,Metz,2.2,65,74,87.8,1319,446,20,21,95.2,39,42,92.9,6,9,66.7,0,0.3,0.0,-0.3,2,6,1,0,4,"MF,DF",24-152,2000
296,Bradley Locko,fr FRA,Brest,32.9,1544,1852,83.4,25861,8098,760,863,88.1,607,701,86.6,127,205,62.0,3,1.6,1.9,+1.4,24,109,37,26,129,DF,22-027,2002
297,Renan Lodi,br BRA,Marseille,13.7,579,748,77.4,9900,2568,252,283,89.0,264,325,81.2,47,95,49.5,0,1.3,1.3,-1.3,14,37,11,7,51,DF,26-055,1998
298,Andy Logbo,fr FRA,Le Havre,2.8,31,40,77.5,349,37,18,23,78.3,7,10,70.0,1,2,50.0,0,0.1,0.2,-0.1,3,2,0,0,2,FW,20-027,2004
